STAND, POSX, POSY, POSZ, POL, DELAY
173, -25.149, 22.994, 0.909, 0, 4.68267144385e-07
173, -25.149, 22.994, 0.909, 1, 4.7544986654e-07
151, -25.058, 47.762, 0.135, 0, 4.12278177772e-07
151, -25.058, 47.762, 0.135, 1, 4.06987342322e-07
222, -38.937, 14.198, 1.27, 0, 5.26053302628e-07
222, -38.937, 14.198, 1.27, 1, 5.23974040562e-07
150, 24.62, 46.137, -0.129, 0, 2.84991879067e-07
150, 24.62, 46.137, -0.129, 1, 2.84852858638e-07
203, -32.628, 32.437, 0.567, 0, 4.62938027947e-07
203, -32.628, 32.437, 0.567, 1, 4.57346988962e-07
258, 338.911, 19.778, 1.67, 0, 1.22721207808e-06
258, 338.911, 19.778, 1.67, 1, 1.24587790259e-06
35, 241.373, -58.617, 2.882, 0, 9.9349955765e-07
35, 241.373, -58.617, 2.882, 1, 9.98992498991e-07
108, 13.358, 7.672, 1.216, 0, 2.83863597325e-07
108, 13.358, 7.672, 1.216, 1, 3.0695509203e-07
99, -14.845, -21.896, 2.209, 0, 4.63276512469e-07
99, -14.845, -21.896, 2.209, 1, 4.63506198395e-07
97, -17.441, -26.162, 2.377, 0, 4.99107516904e-07
97, -17.441, -26.162, 2.377, 1, 4.9985097398e-07
8, 0.386, -10.796, 1.817, 0, 4.09203610028e-07
8, 0.386, -10.796, 1.817, 1, 4.07188821204e-07
168, 24.262, 8.614, 1.177, 0, 2.87288738325e-07
168, 24.262, 8.614, 1.177, 1, 2.85314245278e-07
129, -21.645, -21.14, 2.257, 0, 4.87431815673e-07
129, -21.645, -21.14, 2.257, 1, 4.82157098533e-07
155, -27.056, -30.533, 2.403, 0, 5.23974040562e-07
155, -27.056, -30.533, 2.403, 1, 5.23714132804e-07
32, 4.505, -13.821, 1.962, 0, 4.27336709438e-07
32, 4.505, -13.821, 1.962, 1, 4.26913603785e-07
69, -11.091, -13.709, 2.005, 0, 4.30765880015e-07
69, -11.091, -13.709, 2.005, 1, 4.32047285707e-07
101, -15.178, -16.874, 2.119, 0, 4.60578710235e-07
101, -15.178, -16.874, 2.119, 1, 4.56480629768e-07
185, -31.386, -25.415, 2.307, 0, 5.34563770618e-07
185, -31.386, -25.415, 2.307, 1, 5.34297818493e-07
142, 18.517, 15.186, 1.01, 0, 2.63953454173e-07
142, 18.517, 15.186, 1.01, 1, 2.60729792055e-07
7, 0.047, -16.578, 2.02, 0, 4.25855839653e-07
7, 0.047, -16.578, 2.02, 1, 4.27125156612e-07
242, -40.579, 20.175, 1.05, 0, 5.14274847167e-07
242, -40.579, 20.175, 1.05, 1, 5.11756361137e-07
85, -8.671, 34.357, 0.385, 0, 3.64011896719e-07
85, -8.671, 34.357, 0.385, 1, 3.63653264309e-07
205, -35.119, 39.387, 0.354, 0, 4.77825302563e-07
205, -35.119, 39.387, 0.354, 1, 4.7546799964e-07
87, -10.996, 41.927, 0.181, 0, 3.86063760391e-07
87, -10.996, 41.927, 0.181, 1, 3.85489545576e-07
197, -33.489, 13.103, 1.322, 0, 5.34737042457e-07
197, -33.489, 13.103, 1.322, 1, 5.32361606434e-07
17, -1.444, 42.261, 0.163, 0, 3.11607239423e-07
17, -1.444, 42.261, 0.163, 1, 3.11147867572e-07
259, 405.278, 167.84, -1.462, 0, 1.82117692784e-06
259, 405.278, 167.84, -1.462, 1, 1.81536183548e-06
121, -18.961, 44.288, 0.092, 0, 3.96772362987e-07
121, -18.961, 44.288, 0.092, 1, 3.90333097908e-07
199, -32.462, 18.038, 1.211, 0, 5.19912226294e-07
199, -32.462, 18.038, 1.211, 1, 5.17849082539e-07
16, 2.643, 35.45, 0.284, 0, 3.14000808545e-07
16, 2.643, 35.45, 0.284, 1, 3.14311086024e-07
161, -24.456, -17.033, 2.087, 0, 4.99603154955e-07
161, -24.456, -17.033, 2.087, 1, 5.02081345208e-07
159, -26.421, -23.003, 2.331, 0, 5.16873924749e-07
159, -26.421, -23.003, 2.331, 1, 5.16618046568e-07
170, 25.142, 14.432, 0.975, 0, 2.86412305187e-07
170, 25.142, 14.432, 0.975, 1, 2.65065617603e-07
33, -4.929, -14.887, 1.995, 0, 4.15254020864e-07
33, -4.929, -14.887, 1.995, 1, 4.17329253352e-07
131, -19.84, -14.932, 2.07, 0, 4.81196044264e-07
131, -19.84, -14.932, 2.07, 1, 4.79769573778e-07
63, -14.792, -30.479, 2.474, 0, 5.18665072013e-07
63, -14.792, -30.479, 2.474, 1, 5.13803386582e-07
74, 6.613, 6.787, 1.312, 0, 3.59132078189e-07
74, 6.613, 6.787, 1.312, 1, 3.39499975894e-07
37, -7.935, -5.207, 1.738, 0, 4.10039747389e-07
37, -7.935, -5.207, 1.738, 1, 4.02917468899e-07
76, 9.266, 10.992, 1.097, 0, 3.03556143285e-07
76, 9.266, 10.992, 1.097, 1, 3.00872444572e-07
67, -10.507, -18.68, 2.14, 0, 4.64676790702e-07
67, -10.507, -18.68, 2.14, 1, 4.57163643179e-07
179, -30.18, 40.293, 0.327, 0, 4.60806381372e-07
179, -30.18, 40.293, 0.327, 1, 4.59212683413e-07
224, -35.601, 22.362, 0.961, 0, 4.99107516904e-07
224, -35.601, 22.362, 0.961, 1, 5.01090069107e-07
120, 17.366, 47.853, -0.084, 0, 2.57453745429e-07
120, 17.366, 47.853, -0.084, 1, 2.56704243986e-07
45, -7.739, 21.112, 0.829, 0, 3.95754894632e-07
45, -7.739, 21.112, 0.829, 1, 3.96341198179e-07
19, -2.476, 53.401, 0.058, 0, 3.08028974473e-07
19, -2.476, 53.401, 0.058, 1, 3.0281067142e-07
256, -47.094, 18.685, 1.081, 0, 5.35264917129e-07
256, -47.094, 18.685, 1.081, 1, 5.32361606434e-07
244, -39.793, 25.152, 0.94, 0, 5.03697205844e-07
244, -39.793, 25.152, 0.94, 1, 5.03697205844e-07
49, -4.715, 31.308, 0.406, 0, 3.56007140724e-07
49, -4.715, 31.308, 0.406, 1, 3.53728414565e-07
175, -26.497, 28.278, 0.737, 0, 4.49680717489e-07
175, -26.497, 28.278, 0.737, 1, 4.44804928537e-07
119, -15.968, 38.293, 0.311, 0, 3.83958306071e-07
119, -15.968, 38.293, 0.311, 1, 3.82809876441e-07
10, 1.887, 0.875, 1.536, 0, 3.49662570719e-07
10, 1.887, 0.875, 1.536, 1, 3.51741832785e-07
103, -16.177, -11.568, 1.998, 0, 4.54216007131e-07
103, -16.177, -11.568, 1.998, 1, 4.50414100621e-07
110, 13.775, 13.474, 1.026, 0, 2.83879715636e-07
110, 13.775, 13.474, 1.026, 1, 2.84157756494e-07
65, -10.112, -23.69, 2.258, 0, 4.71404170583e-07
65, -10.112, -23.69, 2.258, 1, 4.71404170583e-07
106, 13.427, 2.68, 1.405, 0, 3.55207269561e-07
106, 13.427, 2.68, 1.405, 1, 3.5104874543e-07
71, -11.53, -8.714, 1.814, 0, 4.27125156612e-07
71, -11.53, -8.714, 1.814, 1, 4.27548262264e-07
140, 19.485, 10.0, 1.145, 0, 2.80313539419e-07
140, 19.485, 10.0, 1.145, 1, 2.77984443539e-07
31, -3.856, -21.789, 2.183, 0, 4.88384810786e-07
31, -3.856, -21.789, 2.183, 1, 4.91286106692e-07
104, 15.712, -5.347, 1.656, 0, 3.50905695423e-07
104, 15.712, -5.347, 1.656, 1, 3.44911698674e-07
29, -6.762, -27.368, 2.394, 0, 4.83116138013e-07
29, -6.762, -27.368, 2.394, 1, 4.82396858403e-07
202, 33.327, 35.012, 0.184, 0, 1.83950219574e-07
202, 33.327, 35.012, 0.184, 1, 1.81822602577e-07
191, -34.995, -6.982, 1.812, 0, 5.51584706598e-07
191, -34.995, -6.982, 1.812, 1, 5.50762672758e-07
51, -5.881, 38.483, 0.299, 0, 4.11260709416e-07
51, -5.881, 38.483, 0.299, 1, 4.05155899281e-07
254, -47.373, 13.705, 1.345, 0, 5.45093057009e-07
254, -47.373, 13.705, 1.345, 1, 5.41583294879e-07
88, 13.665, 51.406, -0.077, 0, 2.33935115493e-07
88, 13.665, 51.406, -0.077, 1, 2.33131214753e-07
83, -10.945, 29.392, 0.542, 0, 3.71641901993e-07
83, -10.945, 29.392, 0.542, 1, 3.69441752598e-07
226, -35.852, 28.44, 0.763, 0, 4.82388799248e-07
226, -35.852, 28.44, 0.763, 1, 4.78415635688e-07
240, -43.194, 10.904, 1.395, 0, 5.52922526377e-07
240, -43.194, 10.904, 1.395, 1, 5.50492691056e-07
54, 5.269, 54.707, -0.031, 0, 2.61245577994e-07
54, 5.269, 54.707, -0.031, 1, 2.61761363933e-07
81, -12.771, 24.871, 0.653, 0, 3.83704442679e-07
81, -12.771, 24.871, 0.653, 1, 3.81621151036e-07
95, -16.275, -36.134, 2.644, 0, 5.36425435491e-07
95, -16.275, -36.134, 2.644, 1, 5.35361626992e-07
177, -27.757, 33.677, 0.54, 0, 4.36338785901e-07
177, -27.757, 33.677, 0.54, 1, 4.36985533113e-07
162, 25.519, -11.556, 1.848, 0, 3.57234147117e-07
162, 25.519, -11.556, 1.848, 1, 3.56357713979e-07
5, -3.176, -31.597, 2.503, 0, 4.76646651101e-07
5, -3.176, -31.597, 2.503, 1, 4.77118111686e-07
59, -9.738, -45.061, 2.892, 0, 5.46712947223e-07
59, -9.738, -45.061, 2.892, 1, 5.41583294879e-07
147, -21.761, 31.566, 0.6, 0, 4.40851912865e-07
147, -21.761, 31.566, 0.6, 1, 4.41069510058e-07
190, 29.095, -5.376, 1.619, 0, 3.57085052745e-07
190, 29.095, -5.376, 1.619, 1, 3.55843942829e-07
166, 25.451, 3.755, 1.348, 0, 2.94191404834e-07
166, 25.451, 3.755, 1.348, 1, 2.94771664015e-07
61, -10.361, -39.94, 2.641, 0, 5.28297777377e-07
61, -10.361, -39.94, 2.641, 1, 5.26988164642e-07
201, -30.597, 25.631, 0.883, 0, 4.64195256173e-07
201, -30.597, 25.631, 0.883, 1, 4.62817140618e-07
125, -22.331, -36.527, 2.677, 0, 5.66961574898e-07
125, -22.331, -36.527, 2.677, 1, 5.66679504463e-07
225, 37.37, 30.007, 0.44, 0, 1.90599022691e-07
225, 37.37, 30.007, 0.44, 1, 1.77257091103e-07
210, -35.504, -22.66, 2.285, 0, 5.62817154288e-07
210, -35.504, -22.66, 2.285, 1, 5.51776111536e-07
80, 10.741, 23.116, 0.714, 0, 3.20907504632e-07
80, 10.741, 23.116, 0.714, 1, 3.19178815822e-07
157, -22.802, -26.433, 2.369, 0, 5.09268096941e-07
157, -22.802, -26.433, 2.369, 1, 5.09020277915e-07
174, 26.906, 26.732, 0.474, 0, 2.21229857173e-07
174, 26.906, 26.732, 0.474, 1, 2.18249984503e-07
228, -40.542, -22.447, 2.282, 0, 5.70064349686e-07
228, -40.542, -22.447, 2.282, 1, 5.65833293157e-07
15, 1.768, 29.751, 0.511, 0, 3.30425367034e-07
15, 1.768, 29.751, 0.511, 1, 3.30425367034e-07
127, -19.651, -32.303, 2.562, 0, 5.2634141743e-07
127, -19.651, -32.303, 2.562, 1, 5.23015001082e-07
153, -28.816, -37.441, 2.704, 0, 5.59257022437e-07
153, -28.816, -37.441, 2.704, 1, 5.59531033717e-07
134, 21.946, -7.931, 1.749, 0, 3.39973451268e-07
134, 21.946, -7.931, 1.749, 1, 3.39304541378e-07
138, 19.74, 3.627, 1.314, 0, 3.14931640982e-07
138, 19.74, 3.627, 1.314, 1, 3.14155947285e-07
93, -17.631, -40.957, 2.712, 0, 5.40221297634e-07
93, -17.631, -40.957, 2.712, 1, 5.36737727758e-07
145, -21.605, 26.403, 0.806, 0, 4.65573371728e-07
145, -21.605, 26.403, 0.806, 1, 4.64424942099e-07
164, 24.916, -2.778, 1.555, 0, 3.41311271046e-07
164, 24.916, -2.778, 1.555, 1, 3.39638996323e-07
100, 16.662, -14.851, 1.983, 0, 3.75125471869e-07
100, 16.662, -14.851, 1.983, 1, 3.69991789947e-07
26, 4.203, -32.959, 2.552, 0, 5.03415135409e-07
26, 4.203, -32.959, 2.552, 1, 5.06662974992e-07
55, -7.524, 53.539, -0.047, 0, 3.21221811688e-07
55, -7.524, 53.539, -0.047, 1, 3.18864508765e-07
68, 9.074, -11.835, 1.859, 0, 3.83136272231e-07
68, 9.074, -11.835, 1.859, 1, 3.81431760886e-07
132, 21.78, -14.856, 1.955, 0, 3.67739256043e-07
132, 21.78, -14.856, 1.955, 1, 3.66651270078e-07
187, -29.403, -17.674, 2.138, 0, 5.23845094078e-07
187, -29.403, -17.674, 2.138, 1, 5.23845094078e-07
112, 15.708, 22.027, 0.745, 0, 3.39512064627e-07
112, 15.708, 22.027, 0.745, 1, 3.35546960223e-07
123, -25.67, -43.331, 2.794, 0, 5.72200025839e-07
123, -25.67, -43.331, 2.794, 1, 5.72200025839e-07
172, 29.113, 22.236, 0.739, 0, 2.1844340423e-07
172, 29.113, 22.236, 0.739, 1, 2.17395714042e-07
214, -37.205, -12.673, 1.98, 0, 5.49160915643e-07
214, -37.205, -12.673, 1.98, 1, 5.47256940205e-07
148, 22.412, 35.842, 0.151, 0, 2.73531760239e-07
148, 22.412, 35.842, 0.151, 1, 2.78584850608e-07
208, -39.699, -29.825, 2.455, 0, 5.85749480676e-07
208, -39.699, -29.825, 2.455, 1, 5.85749480676e-07
176, 29.087, 31.171, 0.302, 0, 2.08329164337e-07
176, 29.087, 31.171, 0.302, 1, 1.91378745966e-07
212, -35.087, -17.617, 2.152, 0, 5.38881463067e-07
212, -35.087, -17.617, 2.152, 1, 5.34861959364e-07
14, -0.218, 25.201, 0.683, 0, 3.28843757807e-07
14, -0.218, 25.201, 0.683, 1, 3.29659747281e-07
25, -3.054, -36.569, 2.66, 0, 4.99965816943e-07
25, -3.054, -36.569, 2.66, 1, 4.98490991524e-07
89, -15.599, 52.298, -0.079, 0, 3.5243492014e-07
89, -15.599, 52.298, -0.079, 1, 3.51568560946e-07
192, 30.901, -0.666, 1.549, 0, 2.97818024716e-07
192, 30.901, -0.666, 1.549, 1, 2.95496987992e-07
102, 13.97, -10.716, 1.842, 0, 3.6472916154e-07
102, 13.97, -10.716, 1.842, 1, 3.60604888819e-07
4, 1.604, -39.395, 2.707, 0, 5.15342685243e-07
4, 1.604, -39.395, 2.707, 1, 5.11788597759e-07
149, -20.809, 36.612, 0.39, 0, 4.03715325273e-07
149, -20.809, 36.612, 0.39, 1, 4.04513181647e-07
194, 29.695, 6.443, 1.238, 0, 2.74841372974e-07
194, 29.695, 6.443, 1.238, 1, 2.7322148276e-07
136, 19.897, -2.647, 1.55, 0, 3.31944517806e-07
136, 19.897, -2.647, 1.55, 1, 3.26885383071e-07
27, -8.155, -32.186, 2.532, 0, 4.85483514881e-07
27, -8.155, -32.186, 2.532, 1, 4.88626585445e-07
91, -16.106, -46.721, 2.961, 0, 5.66129467114e-07
91, -16.106, -46.721, 2.961, 1, 5.50395981192e-07
183, -33.813, -32.414, 2.483, 0, 5.63752016302e-07
183, -33.813, -32.414, 2.483, 1, 5.63191905009e-07
200, 33.023, 27.1, 0.48, 0, 1.90457987474e-07
200, 33.023, 27.1, 0.48, 1, 1.89901905758e-07
189, -31.532, -11.586, 2.035, 0, 5.35000979793e-07
189, -31.532, -11.586, 2.035, 1, 5.31833731762e-07
118, 15.412, 40.551, 0.147, 0, 2.76461263188e-07
118, 15.412, 40.551, 0.147, 1, 2.7551632723e-07
206, -36.649, -36.472, 2.667, 0, 5.74420323122e-07
206, -36.649, -36.472, 2.667, 1, 5.70443129985e-07
178, 29.309, 37.954, 0.012, 0, 2.06918812161e-07
178, 29.309, 37.954, 0.012, 1, 2.05911417749e-07
230, -41.573, -17.393, 2.115, 0, 5.65992461474e-07
230, -41.573, -17.393, 2.115, 1, 5.61791626777e-07
46, 4.926, 25.539, 0.706, 0, 3.10075999918e-07
46, 4.926, 25.539, 0.706, 1, 3.09157256214e-07
181, -32.816, -41.843, 2.752, 0, 5.71579470881e-07
181, -32.816, -41.843, 2.752, 1, 5.69306789088e-07
